azimuth,altitude
0.00000000, 0.06677484
0.02702045, 0.07663071
0.05400150, 0.10377783
0.07027110, 0.10580904
0.08314123, 0.11656273
0.10744149, 0.11175567
0.11379201, 0.11653628
0.12871912, 0.09165538
0.14601226, 0.08498938
0.16280293, 0.05399344
0.17980504, 0.03986116
0.17988974, 0.03979831
0.18833455, 0.03453680
0.21535770, 0.02384612
0.24497866, 0.00788259
0.24601152, 0.00777126
0.24639024, 0.00776906
0.25255428, 0.00926142
0.25390143, 0.00756263
0.26320090, 0.00698611
0.46364761, 0.35297072
0.78539816, 0.52068190
0.98279372, 0.51458735
1.10714872, 0.49286121
1.28781789, 0.46906002
1.37340077, 0.51091283
1.52638111, 0.40737314
1.54378315, 0.40460688
1.54906062, 0.40785562
1.57079633, 0.39492112
1.59206971, 0.38416391
1.61243891, 0.38799501
1.63321514, 0.39610985
1.65393756, 0.40260530
1.67458867, 0.39760456
1.69515132, 0.38966072
1.71560883, 0.36508322
1.73594500, 0.34329604
1.75614428, 0.31918548
1.77619172, 0.26776572
1.78833571, 0.23443398
1.81577499, 0.21734057
1.83528471, 0.26204486
1.85459044, 0.28972655
1.87368120, 0.27390801
1.89254688, 0.23881469
1.91117827, 0.21083509
1.92795849, 0.16365354
1.93654363, 0.15364079
1.95465131, 0.08359624
1.96558745, 0.07739321
1.98320677, 0.07885001
2.00055861, 0.08128593
2.01763880, 0.09079084
2.03444394, 0.10601459
2.05097136, 0.06845779
2.06721908, 0.02454198
2.08318579, 0.05257286
2.09887078, 0.05381274
2.11427392, 0.05245249
2.12939564, 0.04233487
2.13709796, 0.03095496
2.14292194, 0.03534643
2.15879893, 0.05625128
2.17031760, 0.06966081
2.17859832, 0.08113578
2.18303982, 0.08100972
2.19959261, 0.08415745
2.21610512, 0.09215206
2.22187305, 0.09702118
2.25131755, 0.11547844
2.27942260, 0.11636139
2.30623609, 0.11781513
2.33180908, 0.11911444
2.35619449, 0.13204539
2.37944611, 0.12705806
2.39189360, 0.12814511
2.41068595, 0.13026390
2.42750195, 0.13556528
2.44685438, 0.14787707
2.46293016, 0.15438149
2.47838966, 0.15741217
2.49326066, 0.16190769
2.50756993, 0.16010926
2.52692970, 0.16158789
2.54309346, 0.15810079
2.56021247, 0.16268206
2.57306811, 0.15868483
2.59304325, 0.14791603
2.60515720, 0.14495780
2.62536198, 0.13291423
2.63673128, 0.12826338
2.65711472, 0.12769025
2.67794504, 0.11988168
2.69921843, 0.10338750
2.72092930, 0.08942722
2.73570616, 0.07955073
2.75227593, 0.07178458
2.75833887, 0.06835627
2.76563170, 0.06536032
2.78860227, 0.05860394
2.81196825, 0.04960180
2.81984210, 0.04514120
2.82022315, 0.04462530
2.83571378, 0.03528672
2.84309372, 0.01366186
2.84374093, 0.01041528
2.84473405, 0.00733819
2.84504684, 0.00733851
2.85261724,-0.00685528
2.85565449,-0.02649787
2.85982079,-0.03940679
2.86199147,-0.05137023
2.86329299,-0.05328672
2.87064580,-0.09269952
2.88814421,-0.15160135
2.89661399,-0.15620522
2.92027821,-0.16700126
2.94419709,-0.16559165
2.96834699,-0.14919940
2.99270271,-0.11049005
3.01723766,-0.08602196
3.04192400,-0.05842748
3.06673281,-0.04054813
3.09163426,-0.01471757
3.11659786,-0.00426107
3.13845998, 0.03130604
3.14159265, 0.04004467
3.16861310, 0.11097838
3.19417572, 0.16672789
3.21836454, 0.21299753
3.24126131, 0.24206735
3.26594765, 0.26803673
3.29048260, 0.29028234
3.31483832, 0.33393131
3.33898821, 0.36616493
3.36290710, 0.39618950
3.38657132, 0.42606251
3.39077858, 0.42376803
3.39259534, 0.42596896
3.41650250, 0.41047554
3.44009159, 0.35273242
3.44236249, 0.34467583
3.44747152, 0.33402342
3.47121706, 0.25890218
3.49456536, 0.14858747
3.50332190, 0.11243022
3.51755361, 0.05176518
3.52933381,-0.00404197
3.54346330,-0.04796036
3.56444658,-0.08506403
3.57818966,-0.10130819
3.58863781,-0.10933299
3.59660565,-0.10917043
3.62607058,-0.07146573
3.62869186,-0.06894065
3.64443586,-0.02309841
3.65385158,-0.00925364
3.65519866,-0.00492343
3.67443654, 0.03044778
3.69324764, 0.04853788
3.70019197, 0.05657522
3.71796787, 0.08464192
3.73534232, 0.09816690
3.75231862, 0.10067823
3.76104908, 0.09925208
3.76707769, 0.10854101
3.80263582, 0.13989623
3.83633093, 0.18468780
3.86823499, 0.23420493
3.89842716, 0.21492617
3.92699082, 0.25687427
3.95555447, 0.24820816
3.98574664, 0.25166117
4.01249611, 0.24561034
4.03764804, 0.23547966
4.06131226, 0.22728976
4.09213949, 0.22358485
4.12438638, 0.24593131
4.14060710, 0.24228477
4.14907272, 0.24326956
4.15372101, 0.23167313
4.15908114, 0.22461717
4.16383958, 0.22077086
4.18210892, 0.17172418
4.18828842, 0.17235959
4.18934661, 0.17263374
4.19324287, 0.17427813
4.21137559, 0.19331412
4.22122538, 0.19058797
4.23948238, 0.21666903
4.25171766, 0.21150727
4.26708794, 0.22371920
4.27328081, 0.20841655
4.28198403, 0.20493865
4.28755682, 0.20903377
4.28983242, 0.20474040
4.29869977, 0.20887389
4.30749719, 0.17141237
4.32407026, 0.10421440
4.33188260, 0.07520325
4.33940126, 0.05036111
4.35018978, 0.00510608
4.36532738,-0.04168117
4.37835912,-0.09969744
4.39063843,-0.11874449
4.40950411,-0.14034678
4.42859487,-0.15713773
4.44142121,-0.16348197
4.46194589,-0.15824136
4.46835008,-0.15588845
4.47930244,-0.14924430
4.48501397,-0.14437830
4.49832830,-0.12843231
4.50274913,-0.12397575
4.52046723,-0.11091810
4.53869742,-0.08008121
4.54996565,-0.03833789
4.56137364, 0.00745153
4.57141854, 0.04427108
4.57983745, 0.07743723
4.58268644, 0.08557355
4.60411839, 0.13591698
4.62565064, 0.14765742
4.63087555, 0.14604203
4.64864567, 0.16591072
4.66149878, 0.15861519
4.67074640, 0.17663575
4.69155866, 0.16568823
4.71238898, 0.15274176
4.73321930, 0.15244243
4.75403156, 0.14117230
4.77480779, 0.14563596
4.79553021, 0.15749174
4.79813564, 0.15911407
4.80104486, 0.16185250
4.81618132, 0.17035067
4.83674397, 0.18537093
4.85720148, 0.20407405
4.87753766, 0.21159780
4.87849106, 0.21024168
4.88098592, 0.21178221
4.88749711, 0.20292892
4.89273615, 0.19967423
4.89549980, 0.20287269
4.90370478, 0.19457772
4.90505794, 0.19421861
4.92593708, 0.18916786
4.95736764, 0.18710350
4.98364928, 0.16325018
4.98423429, 0.16289201
4.99453533, 0.15878553
4.99644120, 0.15816805
5.01159684, 0.15484948
5.01604721, 0.15432151
5.01854054, 0.15404284
5.03413953, 0.15308377
5.04219260, 0.11895248
5.05277092, 0.10782815
5.07115965, 0.09173617
5.08929825, 0.08121085
5.09501590, 0.07964865
5.10946843, 0.14062830
5.12479942, 0.18554475
5.12565554, 0.18761492
5.13658339, 0.21933539
5.15072554, 0.24823660
5.17603659, 0.28048599
5.20072293, 0.30593570
5.20973170, 0.32729923
5.22293232, 0.34936443
5.24411305, 0.39121074
5.26568331, 0.40525824
5.27355239, 0.41091429
5.29376916, 0.39270823
5.30982981, 0.37222597
5.31569566, 0.36719786
5.31627209, 0.36690675
5.32546623, 0.36522955
5.33014471, 0.36766040
5.34460986, 0.34910856
5.35177489, 0.35462333
5.36808461, 0.33480858
5.37503728, 0.32677816
5.38712992, 0.31767478
5.40218903, 0.29664265
5.41688304, 0.27359097
5.42878613, 0.25162410
5.42940080, 0.25065721
5.44378564, 0.23204028
5.45780846, 0.21135540
5.46454597, 0.19514803
5.47076669, 0.18759018
5.48445460, 0.17607448
5.48677389, 0.16731861
5.49272009, 0.15883772
5.49778714, 0.15647424
5.51187072, 0.13821938
5.52480759, 0.11681365
5.53282890, 0.10635732
5.54001555, 0.10011902
5.55486793, 0.08089000
5.55809140, 0.07479818
5.56809361, 0.06035044
5.57019426, 0.05792322
5.57227593, 0.05635873
5.57659361, 0.05052900
5.57874478, 0.04804340
5.58244467, 0.04521980
5.59606110, 0.04132789
5.59852483, 0.03549358
5.60188708, 0.03410636
5.61841081, 0.02188930
5.63131619, 0.00641710
5.64815857,-0.00896656
5.66051452,-0.01883741
5.67764064,-0.03358657
5.69518270,-0.06684830
5.71314484,-0.08230166
5.73153032,-0.09549838
5.75034142,-0.10029313
5.76957930,-0.09950897
5.78924394,-0.09915011
5.80933397,-0.07815580
5.82984661,-0.06827456
5.85077753,-0.07697175
5.87212076,-0.08310989
5.89386859,-0.07974497
5.91601147,-0.07236925
5.93853799,-0.07951973
5.96143475,-0.08244542
5.98468638,-0.08025361
6.00827547,-0.07153707
6.03218262,-0.06255851
6.05638646,-0.05512840
6.08086368,-0.04291919
6.10558914,-0.02448834
6.13053598,-0.00380145
6.14176014, 0.00255887
6.15235791, 0.00955956
6.15882209, 0.01222781
6.18097859, 0.02478710
6.20641342, 0.03625080
6.21042339, 0.03703080
6.23060225, 0.04726520
6.25687559, 0.05716319
6.28318531, 0.06426709
